"","시간","규모","진앙(km)","위도","경도","행정구역","시군구"
"213","2018-04-07 1:55",1.1,14,35.95,128.04,"경북"," 김천시 남남서쪽 22km 지역"
"214","2018-04-07 7:27",1.8,6,37.22,126.35,"인천"," 옹진군 덕적도 동쪽 18km 해역"
"215","2018-04-07 7:36",1.2,15,36.37,127.95,"경북"," 상주시 서남서쪽 19km 지역"
"216","2018-04-09 4:22",1.8,8,36.1,129.34,"경북"," 포항시 북구 북북서쪽 7km 지역"
"217","2018-04-10 10:04",1.5,14,36.6,129.07,"경북"," 영양군 남남서쪽 8km 지역"
"218","2018-04-10 14:50",1,12,36.75,128.83,"경북"," 안동시 북북동쪽 22km 지역"
"219","2018-04-10 15:39",1.8,14,35.76,129.19,"경북"," 경주시 남남서쪽 9km 지역"
"220","2018-04-11 6:56",1.2,6,36.72,128,"충북"," 괴산군 동남동쪽 22km 지역"
"221","2018-04-12 14:36",1.7,15,36.78,126.89,"충남"," 아산시 서쪽 10km 지역"
"222","2018-04-12 19:55",1.9,6,38.39,125.65,"북한"," 황해남도 안악 남남서쪽 14km 지역"
"223","2018-04-14 1:38",1.6,13,35.76,129.17,"경북"," 경주시 남남서쪽 10km 지역"
"224","2018-04-14 1:55",1.3,7,37.88,128.48,"강원"," 홍천군 동북동쪽 56km 지역"
"225","2018-04-14 1:59",1.2,19,36.46,127.95,"경북"," 상주시 서북서쪽 19km 지역"
"226","2018-04-15 2:18",1,9,36.1,129.34,"경북"," 포항시 북구 북북서쪽 7km 지역"
"227","2018-04-15 21:03",1.7,8,37.44,127.65,"경기"," 양평군 동남동쪽 15km 지역"
"228","2018-04-16 0:03",1.6,21,34.41,127.23,"전남"," 고흥군 남남서쪽 23km 해역"
"229","2018-04-20 23:17",1.1,8,36.1,129.35,"경북"," 포항시 북구 북북서쪽 7km 지역"
"230","2018-04-22 13:21",1,11,35.71,129.4,"경북"," 경주시 남동쪽 22km 지역"
"231","2018-04-24 4:44",1.8,9,36.54,128.92,"경북"," 안동시 동쪽 17km 지역"
"232","2018-04-24 5:22",1.7,21,35.03,126.3,"전남"," 무안군 서북서쪽 17km 해역"
"233","2018-04-24 11:52",1.2,14,35.9,127.66,"전북"," 무주군 남쪽 12km 지역"
"234","2018-04-26 4:38",1.9,12,34.46,125.39,"전남"," 신안군 흑산도 남남서쪽 22km 해역"
